date,ETSAAN_mean,ETSAAN_lower,ETSAAN_upper,ARIMA_mean,ARIMA_lower,ARIMA_upper,SARIMA-ARweekly_mean,SARIMA-ARweekly_lower,SARIMA-ARweekly_upper,GP-RBF_mean,GP-RBF_lower,GP-RBF_upper,GP-Periodic_mean,GP-Periodic_lower,GP-Periodic_upper,GP-Matern32_mean,GP-Matern32_lower,GP-Matern32_upper
2026-06-13,2419.4793741943013,967.2051630328102,6050.114603177863,2261.6818771486824,165.13922334689147,30814.897498733997,2319.7628340886095,162.11111285817583,33019.06857601443,2071.803863723766,1061.3218477657706,4043.4577756773224,581.9604166720992,321.78694711902,1051.8394981262938,2084.7553014574855,1038.918031859098,4182.38277083309
2026-06-14,2433.4863355108596,972.8080251805643,6085.131521343913,2276.6905419640057,147.90603380771594,34838.91932557577,2319.487845065525,143.92934121972138,37152.71776190839,2070.9207805225706,1053.307031712991,4070.7320397516633,572.3342737195597,316.46735233486896,1034.4204519109255,2077.154140803833,1025.353040976033,4206.835374885364
2026-06-15,2447.5743530708282,978.4433102748645,6120.351077311139,2283.045115285237,132.58331047054554,39052.2475223291,2330.593534990547,129.0318254594914,41806.675876266825,2069.96153100321,1044.8495598351801,4099.859079169151,556.0792322911661,307.4670606196879,1005.0629177931352,2069.2410278476846,1011.4178521691448,4232.329058946491
2026-06-16,2461.743895934874,984.1112059425774,6155.774443714958,2282.249254148595,118.9659705769876,43454.88279323387,2339.149531776899,116.03563212567423,46790.73113018367,2068.9090253970453,1035.9467327365933,4130.864480746194,564.6750900979945,312.2262998514543,1020.5882501218024,2061.030982653697,997.1588510213583,4258.814726957512
2026-06-17,2475.9954358780446,989.8119008963358,6191.402799976658,2279.562630100691,107.0534388316328,48132.2752205679,2343.6281216560783,104.55726800162745,52077.65960282103,2067.7459129196695,1026.5983093937277,4163.76906695849,557.8578410366673,308.4412780400119,1008.3097096366714,2052.538724741259,982.6213269325594,4286.240606263401
2026-06-18,2490.3294474054865,995.5455849408282,6227.237332342666,2280.2065363504166,96.7972508261393,53210.14057428047,2346.287383483756,94.45933427065556,57717.379273840495,2066.454645061061,1016.8065215681386,4198.588643624552,548.2240950256095,303.1063978589843,990.9130563526488,2043.7786647760208,967.8491531621704,4314.552915824608
2026-06-19,2504.746407768238,1001.3124489791148,6263.279233924057,2284.9456498224167,87.94689717243645,58748.070288663934,2348.818314334275,85.59328188622858,63764.29437509299,2065.01754081108,1006.5760572440394,4235.333771779209,558.097674179364,308.5734169093481,1008.744998112385,2034.764897447643,952.8845252678605,4343.696457379098
2026-06-20,2519.246796979114,1007.1126850189814,6299.529704736228,2292.2688586061586,80.21639852712667,64752.94320884883,2353.3679161144532,77.84305853155787,70303.83580504988,2063.4168536317197,995.914014228554,4274.0095642467495,581.9604166721665,321.78694711905723,1051.8394981264153,2025.5111954706763,937.7677544405346,4373.615133447393
2026-06-21,2533.8310978287,1012.9464861793375,6335.989951738929,2299.752621598584,73.35378221249714,71191.91673239254,2360.119238850164,71.04196865293032,77382.83839739252,2061.6348399612243,984.8298257082112,4314.61550693143,572.3342737194914,316.46735233483116,1034.4204519108023,2016.0310046464888,922.5371114037688,4404.252396973271
2026-06-22,2548.4997959014195,1018.8140466966438,6372.661188876397,2305.520537052758,67.18172656005524,78026.31400707773,2365.9910371608007,64.96191151690454,84936.60173344471,2059.6538290079725,973.335160115057,4357.145304438965,556.0792322912532,307.46706061973583,1005.0629177932933,2006.3374399260993,907.2287160239964,4435.551637971554
